dataset,label,feature_battery,task_type,best_model,n_features,n_train,n_val,n_test,timestamp,train_best_loss,train_best_model,train_accuracy,train_precision,train_recall,train_f1,train_roc_auc,train_n_classes,train_class_distribution,val_accuracy,val_precision,val_recall,val_f1,val_roc_auc,val_n_classes,val_class_distribution,test_accuracy,test_precision,test_recall,test_f1,test_roc_auc,test_n_classes,test_class_distribution,train_r2,train_mse,train_rmse,train_mae,train_mean_target,train_std_target,val_r2,val_mse,val_rmse,val_mae,val_mean_target,val_std_target,test_r2,test_mse,test_rmse,test_mae,test_mean_target,test_std_target,error
Webtask_school_relevance_label,relevance_label,simple_features,classification,LGBMClassifier,15.0,728.0,259.0,260.0,2026-02-22T11:17:42.810775,0.5394525440502451,LGBMClassifier,0.896978021978022,0.7855099400977621,0.7471972471972471,0.7525079619778646,,6.0,"{-2147483600.0: 485, 1.0: 15, 2.0: 26, 3.0: 55, 4.0: 77, 5.0: 70}",0.915057915057915,0.7896467207572684,0.7808966179064218,0.7734867212326227,,6.0,"{-2147483600.0: 171, 1.0: 4, 2.0: 7, 3.0: 16, 4.0: 27, 5.0: 34}",0.7769230769230769,0.3155067155067155,0.3402777777777778,0.326913320064005,,6.0,"{-2147483600.0: 174, 1.0: 17, 2.0: 3, 3.0: 8, 4.0: 24, 5.0: 34}",,,,,,,,,,,,,,,,,,,
Webtask_school_search_result_label,search_result_label,all_features,classification,LGBMClassifier,474.0,728.0,259.0,260.0,2026-02-22T11:45:37.232045,0.6145223820587897,LGBMClassifier,1.0,1.0,1.0,1.0,,6.0,"{-2147483600.0: 485, 1.0: 58, 2.0: 65, 3.0: 57, 4.0: 32, 5.0: 31}",1.0,1.0,1.0,1.0,,6.0,"{-2147483600.0: 171, 1.0: 19, 2.0: 23, 3.0: 22, 4.0: 9, 5.0: 15}",0.7769230769230769,0.4385000292441308,0.4265873015873016,0.4202025980684518,,6.0,"{-2147483600.0: 174, 1.0: 19, 2.0: 18, 3.0: 19, 4.0: 14, 5.0: 16}",,,,,,,,,,,,,,,,,,,
Webtask_school_search_result_label,search_result_label,complex_features,classification,CatBoostClassifier,375.0,714.0,254.0,255.0,2026-02-13T06:34:42.755288,0.6279073556231209,CatBoostClassifier,0.9257703081232492,0.8337244816426926,0.8075295691962358,0.8117886731228214,,6.0,"{-2147483600.0: 474, 1.0: 44, 2.0: 40, 3.0: 54, 4.0: 50, 5.0: 52}",0.937007874015748,0.843073593073593,0.8364042755490123,0.8378955624181564,,6.0,"{-2147483600.0: 171, 1.0: 13, 2.0: 16, 3.0: 13, 4.0: 19, 5.0: 22}",0.7529411764705882,0.3074494949494949,0.3055583670715249,0.3004834437514976,,6.0,"{-2147483600.0: 179, 1.0: 16, 2.0: 13, 3.0: 15, 4.0: 13, 5.0: 19}",,,,,,,,,,,,,,,,,,,
Webtask_school_search_result_label,search_result_label,distance_features,classification,RandomForestClassifier,27.0,714.0,254.0,255.0,2026-02-13T06:39:43.129019,0.5978909270131612,RandomForestClassifier,0.7843137254901961,0.5118055555555555,0.4498329448329448,0.4285933596405573,,6.0,"{-2147483600.0: 474, 1.0: 44, 2.0: 40, 3.0: 54, 4.0: 50, 5.0: 52}",0.8307086614173228,0.6306471306471306,0.526894706171022,0.5164089994972348,,6.0,"{-2147483600.0: 171, 1.0: 13, 2.0: 16, 3.0: 13, 4.0: 19, 5.0: 22}",0.7607843137254902,0.3285714285714285,0.3295546558704453,0.3157756117706055,,6.0,"{-2147483600.0: 179, 1.0: 16, 2.0: 13, 3.0: 15, 4.0: 13, 5.0: 19}",,,,,,,,,,,,,,,,,,,
Webtask_school_search_result_label,search_result_label,extended_features,classification,RandomForestClassifier,65.0,728.0,259.0,260.0,2026-02-22T11:39:42.116408,0.6164602924932625,RandomForestClassifier,0.8392857142857143,0.660345399447594,0.5467876412888414,0.5569672888151572,,6.0,"{-2147483600.0: 485, 1.0: 58, 2.0: 65, 3.0: 57, 4.0: 32, 5.0: 31}",0.8571428571428571,0.743216539489359,0.5943223231552751,0.5981088759985572,,6.0,"{-2147483600.0: 171, 1.0: 19, 2.0: 23, 3.0: 22, 4.0: 9, 5.0: 15}",0.7576923076923077,0.400278944060824,0.3769145084934559,0.3469900535676031,,6.0,"{-2147483600.0: 174, 1.0: 19, 2.0: 18, 3.0: 19, 4.0: 14, 5.0: 16}",,,,,,,,,,,,,,,,,,,
Webtask_school_search_result_label,search_result_label,simple_features,classification,ExtraTreesClassifier,15.0,728.0,259.0,260.0,2026-02-22T11:34:41.766262,0.6132497223630229,ExtraTreesClassifier,0.896978021978022,0.8165232843500037,0.705010390412299,0.7296041419784437,,6.0,"{-2147483600.0: 485, 1.0: 58, 2.0: 65, 3.0: 57, 4.0: 32, 5.0: 31}",0.8764478764478765,0.7373807494012098,0.6631212968741573,0.6776907001044932,,6.0,"{-2147483600.0: 171, 1.0: 19, 2.0: 23, 3.0: 22, 4.0: 9, 5.0: 15}",0.7461538461538462,0.4006802721088435,0.351756126427179,0.3273948166832881,,6.0,"{-2147483600.0: 174, 1.0: 19, 2.0: 18, 3.0: 19, 4.0: 14, 5.0: 16}",,,,,,,,,,,,,,,,,,,
Webtask_search_result_label,search_result_label,all_features,classification,LGBMClassifier,474.0,2543.0,909.0,909.0,2026-02-13T07:04:56.047224,0.6267521491396972,LGBMClassifier,0.9980338183248132,0.9950630252100842,0.9950396825396824,0.995039612237908,,6.0,"{-2147483600.0: 1703, 1.0: 168, 2.0: 168, 3.0: 168, 4.0: 168, 5.0: 168}",0.9988998899889988,0.9972677595628416,0.9972222222222222,0.9972220293075909,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",0.7326732673267327,0.3211634064160323,0.325,0.3223324615222671,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",,,,,,,,,,,,,,,,,,,
Webtask_search_result_label,search_result_label,complex_features,classification,LGBMClassifier,375.0,2543.0,909.0,909.0,2026-02-13T06:54:52.857980,0.6373604279847669,LGBMClassifier,0.8368069209594966,0.5906074176845255,0.5882936507936508,0.5885867821779857,,6.0,"{-2147483600.0: 1703, 1.0: 168, 2.0: 168, 3.0: 168, 4.0: 168, 5.0: 168}",0.8371837183718371,0.5906674212202377,0.5888888888888889,0.5884043907369714,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",0.7447744774477447,0.3638521004250903,0.3555555555555555,0.3584234359746403,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",,,,,,,,,,,,,,,,,,,
Webtask_search_result_label,search_result_label,distance_features,classification,RandomForestClassifier,27.0,2543.0,909.0,909.0,2026-02-13T06:59:53.431453,0.6269818520260766,RandomForestClassifier,0.8430987023200944,0.6063131011845807,0.6041666666666666,0.6008703043397426,,6.0,"{-2147483600.0: 1703, 1.0: 168, 2.0: 168, 3.0: 168, 4.0: 168, 5.0: 168}",0.8327832783278328,0.5807678537001846,0.5777777777777777,0.5748452031169248,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",0.746974697469747,0.3624924095958275,0.3611111111111111,0.361210729513668,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",,,,,,,,,,,,,,,,,,,
Webtask_search_result_label,search_result_label,extended_features,classification,LGBMClassifier,65.0,2543.0,909.0,909.0,2026-02-13T06:49:50.864194,0.6350270565133056,LGBMClassifier,0.8328745576091231,0.5795874074127846,0.5783730158730159,0.5782299744606615,,6.0,"{-2147483600.0: 1703, 1.0: 168, 2.0: 168, 3.0: 168, 4.0: 168, 5.0: 168}",0.8151815181518152,0.5341854426929883,0.5333333333333333,0.5328181353456086,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",0.7436743674367436,0.3482683313254295,0.3527777777777778,0.3484264835008758,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",,,,,,,,,,,,,,,,,,,
Webtask_search_result_label,search_result_label,simple_features,classification,XGBClassifier,15.0,2543.0,909.0,909.0,2026-02-13T06:44:50.297054,0.6396198641072484,XGBClassifier,0.7762485253637436,0.4668829657769421,0.435515873015873,0.4269660266342954,,6.0,"{-2147483600.0: 1703, 1.0: 168, 2.0: 168, 3.0: 168, 4.0: 168, 5.0: 168}",0.768976897689769,0.4399094280858269,0.4166666666666667,0.4107046757782438,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",0.7348734873487349,0.3305754649258586,0.3305555555555555,0.3212092613081457,,6.0,"{-2147483600.0: 609, 1.0: 60, 2.0: 60, 3.0: 60, 4.0: 60, 5.0: 60}",,,,,,,,,,,,,,,,,,,
